TDWG,LEVEL3_NAME,Lon,Lat,Area,Clim.PC1,Clim.PC2,MAT_ANO,MTCQ_ANO,ELE_STD,MAT_STD,realm,wals,glottolog,Human,vas_rich,med_rich,residuals
RUW,Northwest European Russia,31.24102708,58.78055975,194158.95,-3.255334523,-1.262744201,185.5881669,330.2591396,60.36847417,0.767100224,Palearctic,3,3,30,1538,718,20.38049248
RWA,Rwanda,29.91719523,-1.997987311,25255.22,1.250341124,0.648355826,134.4937871,131.5482982,344.6316127,1.904184063,Afrotropic,1,2,200,2537,1145,257.0638703
SAK,Sakhalin,142.7120755,50.3342599,75189.68,-4.538573019,-2.012371431,120.9543541,300.0619798,198.7573058,1.799333139,Palearctic,3,3,30,1266,556,-89.80156834
SAM,Samoa,-172.0319288,-13.79663847,3184.02,6.421094355,-3.740124972,203.7459772,197.7031961,386.3861937,2.092439193,Oceania,1,1,2.8,851,310,-256.7411097
SAR,Sardegna,9.030029004,40.09088088,24110.9,-1.09027393,0.833617706,82.45663134,33.86717643,272.984928,1.432113032,Palearctic,1,3,5,2085,803,1.173092747
SAS,Saskatchewan,-105.8900548,54.41922757,649128.47,-5.056310176,-0.55198218,298.0101499,418.7569118,145.1169902,2.796772368,Nearctic,2,4,10,1291,673,22.43575342
SAU,Saudi Arabia,44.58510242,24.02338171,1959076.17,-0.627781445,4.461813629,174.4552994,101.2778471,395.6997099,2.753532178,Palearctic,3,6,90,2079,990,189.3161355
SCA,South Carolina,-80.90042082,33.91755375,80554.77,-0.132743601,-0.30045927,64.03593202,66.6253974,102.1952109,1.027300836,Nearctic,0,3,16,2641,934,26.25112885
SCI,Society Is.,-149.8832556,-17.45187799,1534.72,3.432495367,-1.410331922,199.3095645,187.0951377,294.2496662,1.772663066,Oceania,1,2,1.1,617,203,-319.1624414
SCS,South China Sea,114.3182544,13.0701461,22.42,2.621697236,1.411152626,211.1763916,178.1944427,3.715582802,0.19367408,Indomalaya,0,0,2,210,180,-264.6260398
SCZ,Santa Cruz Is.,166.2240493,-10.99208388,855.15,8.679348763,-6.970963704,214.5705278,205.8255817,129.1845556,0.645594364,Australasia,2,7,3,298,124,-337.3906672
SDA,South Dakota,-100.2198562,44.43756367,198287.1,-3.683925043,0.940974479,180.3281386,334.9062962,257.1784102,1.013600056,Nearctic,2,2,16,1445,816,136.0976555
SEL,Selvagens,-15.86268648,30.14296023,1.87,,,,,,,Afrotropic,0,0,0.5,97,46,-377.0987342
SEN,Senegal,-14.46817708,14.36697739,196778.54,1.411159277,4.430020196,212.5677518,181.3328245,38.95660982,0.920874318,Afrotropic,9,29,30,2103,1270,464.7439644
SEY,Seychelles,55.5220677,-4.70189449,329.95,4.589362234,-1.01131279,206.0418339,197.7997332,159.7356129,0.748563492,Afrotropic,1,2,0.2,415,213,-270.6800013
SGE,South Georgia,-36.71862583,-54.35798161,3598.75,-1.466316289,-5.583878192,61.25014861,122.192487,403.473967,2.169816192,Antarctica,0,0,0.1,23,3,-406.0012066
SIC,Sicilia,14.14647287,37.56596761,26034.84,-1.133315641,1.208885519,91.08878414,38.2457106,335.9942308,1.941303058,Palearctic,1,6,20,2565,946,52.72967067
SIE,Sierra Leone,-11.79209994,8.560345771,72801.4,5.182717186,-0.106086102,201.8978189,188.752256,185.1878475,0.932952376,Afrotropic,4,13,15,2670,1390,476.7264221
SIN,Sinai,33.7680386,29.70447198,56757.09,-1.588976425,2.904533377,124.3524567,64.13622228,371.3293546,1.628260029,Palearctic,0,1,90,1255,528,-115.7059899
SOA,South Australia,135.8267162,-30.10453814,984499.76,-1.18487126,2.402026289,145.581911,79.06324388,159.5774768,2.118282827,Australasia,13,25,40,3205,265,-750.1948921
SOC,Socotra,53.78351902,12.49162925,3919.17,0.474951433,2.73953882,206.6510706,180.1482601,236.7587465,1.173420515,Afrotropic,1,1,2,803,296,-261.5967675
SOL,Solomon Is.,158.3399851,-8.147934436,37030.36,6.442293311,-4.23009532,204.0212167,195.2930251,322.015377,1.630519991,Australasia,24,87,30,2308,676,-168.3099971
SOM,Somalia,45.86255319,6.063705784,639039.91,0.937965634,3.77363688,209.3424206,186.5046235,372.6099286,2.090792506,Afrotropic,1,8,130,3149,1089,84.47350715
SPA,Spain,-3.551723404,40.39416926,493456.2,-1.588842426,0.649120164,71.42870327,21.65776554,402.1033716,2.685829864,Palearctic,16,19,45,6904,1515,-204.8807634
SRL,Sri Lanka,80.70426571,7.612357088,66570.3,3.886763398,0.304017815,212.8314406,196.3020977,304.6471123,1.878229877,Indomalaya,2,5,65,3712,2098,986.2179933
SSA,South Sandwich Is.,-26.65310473,-58.17275834,277.64,-1.530639287,-5.678902476,50.17124363,18.30305752,0,0.582168692,Antarctica,0,0,0,2,1,-404.0005569
STH,St. Helena,-5.717275315,-15.96202459,133.49,,,,,,,Afrotropic,0,0,0.5,90,22,-399.7651843
SUD,Sudan,30.08706657,13.88720329,2511560.36,0.572557251,4.406318783,208.6654006,165.2724466,185.8007031,1.662047068,Afrotropic,47,123,130,4034,2080,906.8746977
SUL,Sulawesi,121.2948301,-2.104068429,186830.72,4.044887974,-1.153952974,185.1042284,177.5748138,538.6860431,2.951135369,Australasia,25,106,65,4694,1647,348.1399924
SUM,Sumatera,101.6400768,-0.477595217,473039.83,5.206539145,-2.242572931,200.9264799,194.1145049,458.1907762,2.496050648,Indomalaya,14,33,65,7491,2549,717.2915517
SUR,Surinam,-55.91158943,4.126707567,145658.16,4.124674538,-0.02256677,201.4334611,192.8667202,120.9616957,0.56994942,Neotropic,7,12,7,4559,1225,-48.14154518
SVA,Svalbard,18.37151643,78.8294471,62502.86,-5.445702776,-3.982365319,278.6723281,408.3151364,260.6355481,1.990834511,Palearctic,0,0,0.4,198,43,-399.3399542
SWC,Southwest Caribbean,-85.14144436,15.43870928,356.92,4.128576718,0.060087052,206.4506297,189.905717,59.03441789,0.528846428,Neotropic,0,2,,265,220,-235.1039319
SWE,Sweden,16.74115723,62.78773775,443714.62,-3.428876539,-1.627421913,224.6113088,342.6493704,261.3128884,2.99783827,Palearctic,4,13,12,3876,777,-366.0251759
SWI,Switzerland,8.234587165,46.80257618,41397.59,-1.683672058,-2.924086472,27.81859024,94.55634188,795.3507191,4.195867687,Palearctic,9,7,45,3408,1104,50.13216066
SWZ,Swaziland,31.49719338,-26.5621158,17152.46,0.412299871,1.762860948,145.4950051,107.3089568,369.523034,1.887733855,Afrotropic,1,1,130,2627,1431,525.9182287
TAI,Taiwan,120.9594018,23.74833247,36246.34,3.128344383,-1.885916288,129.6952126,59.51540682,842.6874763,4.398095442,Indomalaya,9,24,30,4622,2084,798.8565057
TAN,Tanzania,34.8234036,-6.270196782,945436.31,1.213574966,2.098396337,169.4753461,154.6780871,469.5229469,2.28943836,Afrotropic,30,115,200,9727,2831,573.3176105
TAS,Tasmania,146.6009979,-41.94278479,68398.06,-0.383216215,-2.112569833,63.64819503,22.72216072,297.1835072,1.876312659,Australasia,2,8,40,1812,125,-624.8184609
TCI,Turks-Caicos Is.,-71.88207917,21.80869292,421.24,1.752961958,1.51060112,204.9721863,183.9067505,4.136711901,0.100993427,Neotropic,0,1,1.5,407,227,-255.1559443
TCS,Transcaucasus,45.58312388,41.01420856,185293.2,-2.383011001,-0.425080965,41.32444204,64.693918,891.0801321,4.617470088,Palearctic,13,25,50,5632,1389,-88.55569494
TDC,Tristan da Cunha,-11.15734365,-38.66545462,170.82,2.037000288,-5.251041441,66.17579603,41.31865621,434.6178192,1.698735627,Afrotropic,0,0,0.2,99,20,-403.4797484
TEN,Tennessee,-86.34752902,35.85105204,108923.77,-0.576511289,-0.926778519,6.263404964,148.2563235,181.7505501,0.956969975,Nearctic,1,1,16,2475,977,100.8753123
TEX,Texas,-99.35743679,31.49694154,685503.37,-1.05566554,1.646564119,57.17620395,84.37005311,419.0395836,2.263593012,Nearctic,4,10,16,4793,1506,188.2797866
THA,Thailand,101.0149076,15.11989714,514630.29,2.207103259,2.128582516,201.5384538,171.9761582,289.5172845,1.575293751,Indomalaya,12,39,65,11109,4173,1652.036758
TKM,Turkmenistan,59.38352408,39.12222047,471311.99,-2.620636258,2.74533381,86.94610861,32.41916963,209.2138647,1.438754245,Palearctic,1,2,60,2675,724,-190.2261136
TOG,Togo,0.975834462,8.534930227,57364.9,2.577229223,2.11926089,205.6662614,194.2239672,155.8802135,1.092375269,Afrotropic,4,23,15,2027,1249,458.2225062
TOK,Tokelau-Manihiki,-164.6701472,-9.770762035,64.69,3.849669356,0.166425294,227.8958282,224.25,3.110220151,0.373082014,Oceania,0,1,1.1,70,53,-364.9550417
TON,Tonga,-174.8245319,-19.98207653,778.5,3.595802317,-1.295457956,193.7424285,174.6442117,90.86384817,0.988904983,Oceania,2,2,3,522,306,-198.0642641
TRT,Trinidad-Tobago,-61.25263722,10.46836429,5049.82,3.86507486,-0.144097319,200.8642212,191.1092727,110.6555719,0.59224955,Neotropic,0,4,7,2569,1012,117.9676422
TUA,Tuamotu,-145.2654942,-16.02348622,289.23,3.378697357,-0.14806958,221.2605155,210.8828081,19.66122146,0.321738752,Oceania,0,1,1,153,94,-339.7671334
TUB,Tubuai Is.,-150.0686054,-23.09392209,99.1,2.840944378,-1.403785534,186.1791115,167.4882584,67.68648966,0.44083934,Oceania,0,1,0.8,378,150,-326.6312375
TUE,Turkey-in-Europe,27.29964162,41.26119862,23807.39,-1.658477957,0.283267646,60.3327505,41.92817193,131.4606793,0.806994476,Palearctic,0,2,0,2235,982,151.5970233
TUN,Tunisia,9.561555724,34.11124296,155424.32,-1.351917759,2.76479069,121.4233215,58.66352386,226.752925,1.954786416,Palearctic,1,8,130,2421,799,-66.8373027
TUR,Turkey,35.43587039,38.98893748,755552.45,-2.379522831,0.578614834,47.17148619,51.71791433,636.8998919,3.819947458,Palearctic,7,24,50,10065,1699,-623.0737992
