"TDWG","Bio1","Bio2","Bio3","Bio4","Bio5","Bio6","Bio7","Bio8","Bio9","Bio10","Bio11","Bio12","Bio13","Bio14","Bio15","Bio16","Bio17","Bio18","Bio19"
"ARK",15.7546700337454,25.7996891879205,5.12549590417439,1275.91705069124,137.558627752176,74.1571940604199,19.0441821968012,384.307731694828,258.860215053763,276.184843830005,294.31797235023,12.6074878860606,35.9411004023007,835.133506263151,33.0443230896074,-2.04836456755627,35.0926877054507,15.7049355597235,18.1349867921088
"ARU",27.9540869394938,29.1017227172852,26.5786685943604,410.666666666667,80,7.33333333333333,67.7143351236979,203.666666666667,35.6666666666667,100,70,7.21233797073364,70.0451380411784,109.002146402995,33.225035349528,22.9335206349691,10.2915147145589,27.8158671061198,26.9641749064128
"ASC",20.9791660308838,22.720832824707,19.2224998474121,165,34,6,54.7071342468262,70,20,63,38,5.86749982833862,60.7401657104492,143.043380737305,26.0049991607666,16.3449993133545,9.65999984741211,22.218334197998,21.4741668701172
"ASK",-4.36517543531011,10.4194238028438,-17.499471613646,510.86090648021,87.1544262704457,20.7122487201898,58.3175438123959,219.56888500437,70.9333499812711,176.841877887377,100.841203645898,8.98276318093932,23.0882221690842,1164.81481277517,16.9406995853147,-22.7710403383677,39.7117399258565,8.66477838178127,-10.1775899032065
"ASP",12.3329172134399,15.2470836639404,9.85791683197021,1280,132,80,15.8481388092041,386,259,259,338,4.20916700363159,40.6584548950195,220.860305786133,18.2525005340576,7.90000009536743,10.3525009155273,12.1837501525879,15.2470836639404
"ASS",22.2995841543917,26.0497117338687,16.584756156542,2523.300180018,544.387488748875,9.42529252925292,89.4414361976054,1423.87308730873,50.8834383438344,1305.58370837084,54.2727272727273,9.63719553436705,46.1745549793398,394.76312838193,30.0907303786943,9.20162467244653,20.8891057023908,25.9475174774252,16.8763744483436
"ATP",7.09974196751912,9.48630841573079,4.99321670532227,1463.06666666667,144.6,97.7333333333333,11.4745297114054,403.6,322.4,380.4,336.133333333333,3.95182406107585,44.5261639912923,185.186407470703,12.0560981114705,3.23400624593099,8.82209186553955,7.37132018407186,5.48973042170207
"AUT",6.25678122238621,14.7024893044438,-2.1441149855955,1065.85566298343,137.51864640884,53.9122928176796,31.8656113279459,384.699585635359,180.160220994475,384.336325966851,181.877762430939,8.75968940481955,32.4432781756912,689.64710711906,20.6107230726527,-6.35835704791941,26.9690801056709,14.5898192908553,-1.65091114038105
"AZO",16.6904622047178,20.831483287196,13.5112314839517,1186.12903225806,152.516129032258,42.2903225806452,37.0984564750425,428.322580645161,154.774193548387,201.258064516129,367.870967741935,5.2513569554975,38.1290345961048,298.831233855217,24.5692981596916,10.8070923282254,13.7622058314662,15.0445847357473,19.9698763816587
"BAH",25.2686878646292,28.1629233476592,22.1670946028174,1095.43292682927,176.469512195122,35.2317073170732,53.3198831604748,437.810975609756,131.658536585366,354.25,152.353658536585,7.28106770573593,50.970427745726,245.909276450553,32.1611281836905,17.8596956380984,14.3014325397771,27.2722879270228,23.0953052683574
